psi0,nu,N,chitc,href,id,col0,col1,col2,col3,col4,col5
-0.021088,0.3396,0.3017,5.1005,47.1992,1,5.265302e-01,4.029874e-01,4.980000e-01,2.883138e-01,3.308496e-01,1.848000e+00
-0.006315,0.2990,0.5086,2.0210,136.1151,1,5.770238e-01,5.527135e-01,6.870000e-01,4.355398e-01,5.215708e-01,1.948500e+00
-0.007392,0.3375,0.1253,4.0046,141.2794,1,5.610056e-01,5.365776e-01,5.880000e-01,4.344087e-01,5.157720e-01,1.305000e+00
-0.173928,0.3463,0.3074,5.0325,12.1619,1,4.967930e-01,3.339554e-01,6.270000e-01,3.896157e-01,3.273188e-01,1.129500e+00
-0.056383,0.1202,0.5364,3.5544,12.9495,1,5.245543e-01,3.694864e-01,1.170000e+00,2.881314e-01,3.054428e-01,5.113500e+00
-0.118313,0.1926,0.2173,4.6745,12.9306,1,5.079147e-01,4.001316e-01,1.074000e+00,3.845175e-01,3.880618e-01,2.253000e+00
-0.041582,0.1693,0.3378,2.6310,11.5365,1,5.180696e-01,3.576451e-01,8.880000e-01,1.827784e-01,2.134697e-01,7.312500e+00
-0.144287,0.3300,0.4046,1.6469,6.4866,1,5.049973e-01,3.033141e-01,4.680000e-01,1.002965e-01,1.118166e-01,5.821500e+00
-0.029069,0.1383,0.4275,5.5488,10.9765,1,5.181523e-01,3.606801e-01,1.062000e+00,2.544218e-01,2.776496e-01,5.451000e+00
-0.086795,0.2654,0.1607,2.0523,6.1563,1,5.055729e-01,3.267856e-01,6.045000e-01,1.061065e-01,1.267458e-01,7.782000e+00
-0.080004,0.2878,0.4725,5.1887,12.0524,1,5.115424e-01,3.195234e-01,6.870000e-01,2.842517e-01,2.690228e-01,2.539500e+00
0.022079,0.3116,0.4594,3.3423,65.5173,1,5.416193e-01,4.241713e-01,5.400000e-01,1.969201e-01,2.438824e-01,8.383500e+00
-0.111226,0.3297,0.4453,3.6989,37.5429,1,5.067686e-01,4.025299e-01,7.020000e-01,4.375051e-01,4.001771e-01,1.039500e+00
-0.025989,0.3016,0.5994,2.9377,96.1345,1,5.544339e-01,5.044277e-01,7.035000e-01,4.390564e-01,4.896990e-01,1.479000e+00
0.003087,0.1392,0.1440,3.3878,30.1805,1,5.435032e-01,4.404520e-01,1.005000e+00,2.699725e-01,3.296712e-01,6.637500e+00
-0.106474,0.3494,0.4742,1.0818,60.3625,1,5.350344e-01,4.046949e-01,4.680000e-01,2.695578e-01,3.112209e-01,2.040000e+00
-0.019720,0.3362,0.1264,3.2059,78.8854,1,5.419314e-01,4.549811e-01,5.190000e-01,3.251703e-01,3.895464e-01,1.797000e+00
0.002293,0.2609,0.5372,2.2781,36.3029,1,5.352456e-01,4.033886e-01,6.435000e-01,2.052317e-01,2.480333e-01,5.574000e+00
